station_ID,station_LOC,Lat,Long
28079004,Pza. de Espana,40.4233828,-3.7121647000000166
28079008,Escuelas Aguirre,40.4144339,-3.6746944000000212
28079011,Av. Ramon y Cajal,40.45244579999999,-3.6687222000000475
28079016,Arturo Soria,40.456106,-3.656192
28079017,Villaverde Alto,40.34162999999999,-3.712478000000033
28079018,C/ Farolillo,40.3947827,-3.7319962999999916
28079024,Casa de Campo,40.421432,-3.7536662999999635
28079027,Barajas,40.46537039999999,-3.5951517999999396
28079035,Pza. del Carmen,40.41858,-3.7034151000000293
28079036,Moratalaz,40.4072203,-3.6570054999999684
28079038,Cuatro Caminos,40.4510198,-3.7007266000000527
28079039,Barrio del Pilar,40.4762458,-3.7033183999999437
28079040,Vallecas,40.38194119999999,-3.6245757000000367
28079047,Mendez Alvaro,40.3953882,-3.6781684999999698
28079048,Paseo de la Castellana,40.4555402,-3.6898132000000032
28079049,Retiro,40.4152606,-3.6844995000000154
28079050,Pza. Castilla,40.4664091,-3.6895749999999907
28079054,Ensanche Vallecas,40.36338209999999,-3.5980738000000656
28079055,Urb. Embajada (Barajas),40.4601088,-3.580077299999971
28079056,Pza. Fdez. Ladreda,40.3851599,-3.7170840999999655
28079057,Sanchinarro,40.5001515,-3.6580212000000074
28079058,El Pardo,40.51906869999999,-3.775876599999947
28079059,Parque Juan Carlos I,40.45428729999999,-3.603971300000012
28079060,Tres Olivos,40.498423,-3.691834100000051
